pipeline_id,contact_id
f635934a,37
750b39f9,17
750b39f9,18
f2109e69,34
f2109e69,35
f2109e69,36
35608fef,25
35608fef,26
35608fef,27
35608fef,28
06230ea3,28
804db12e,33
4b72884d,38
68609420,39
084860fd,40
8509eeb1,41
8449dee0,42
8449dee0,43
72312316,21
72312316,42
c676dc2b,43
b9024b04,44
d147406d,43
d96dec16,44
d87b7f5f,45
1b4dba19,45
606d08ea,45
4f84f0e3,46
16c0d3ad,46
3d1bfb8e,47
3d1bfb8e,48
aa3dcb26,47
aa3dcb26,48
71944efd,49
0d61380a,49
906f1155,49
e775900b,50
7c8c4da1,51
2aafec74,52
90e90110,52
21f8a758,52
3348d162,52
04528545,53
fc2caef8,53
c055366b,49
608c7f2f,49
62753cdf,49
ee0dd36a,50
84b6ea0b,51
70efb2b0,54
ce594316,55
621e9a76,55
e2349037,56
e2349037,57
103a233e,57
786f7481,58
